rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,running_style,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
1,クロワデュノール,5,3,先行,先行,先行,85.42727562392666,4,0.042768861268165585,0.7131428037760913,0.2098601243928437,0.03422821056289939
2,ダノンデサイル,1,1,自在,差し,差し,93.00896450382527,0,0.08915352959869244,0.2551654755539124,0.4724405974692131,0.1832403973781822
3,メイショウタバル,16,8,逃げ,逃げ,逃げ,93.7711902961991,15,0.852,0.14000000000000004,0.008,0.0
4,コスモキュランダ,9,5,自在,先行,先行,99.82791488322707,8,0.35486568050759065,0.5219803655404585,0.07035213942179759,0.05280181453015329
5,ファミリータイム,7,4,先行,先行,先行,99.83913637072783,6,0.24265938624405867,0.468481894468106,0.2824460603029572,0.00641265898487802
6,マイネルエンペラー,12,6,先行,逃げ,逃げ,101.21480970683531,11,0.1840993232832842,0.5644569859875425,0.17093469261437536,0.08050899811479802
7,ミクニインスパイア,4,2,先行,先行,先行,101.28838691983641,3,0.15974493258056327,0.49949935250893146,0.30542914711867075,0.0353265677918345
8,スティンガーグラス,14,7,自在,差し,差し,103.15132121429554,13,0.030200629520001018,0.24238640650005722,0.4604275179759512,0.2669854460039905
9,ミュージアムマイル,2,1,自在,先行,先行,104.31723485055483,1,0.004041798145118558,0.2729478233200182,0.3556009160259491,0.3674094625089141
10,レガレイラ,17,8,自在,先行,先行,105.11230220034557,16,0.0,0.14363621260517354,0.48784168009604917,0.3685221072987774
11,タガノデュード,8,4,自在,追込,追込,106.1104622339267,7,0.0,0.08569982326634987,0.4604649363079782,0.4538352404256719
12,ミステリーウェイ,18,8,逃げ,先行,先行,111.37626930830302,17,0.5747854760291492,0.21399175735678289,0.19251366662890015,0.018709099985167777
13,マイユニバース,15,7,自在,差し,差し,111.77228215518737,14,0.12623329719079077,0.3465282682183343,0.3279468868773837,0.1992915477134912
14,シンエンペラー,11,6,自在,差し,差し,112.27464665671641,10,0.0944340418723133,0.3545721658737165,0.4027522612454266,0.14824153100854368
15,ジューンテイク,10,5,自在,差し,差し,115.64814210052843,9,0.1403119196788687,0.447801674016919,0.24372444743645946,0.16816195886775284
16,シュガークン,3,2,先行,先行,先行,116.23265862001188,2,0.40802135723248917,0.5153240986149346,0.0628100981460769,0.01384444600649944
17,シェイクユアハート,13,7,差し,差し,差し,120.45237690857164,12,0.0,0.17194491021828134,0.6132677804541559,0.21478730932756276
18,ビザンチンドリーム,6,3,追込,追込,追込,121.90020744875633,5,0.0,0.0,0.46901770838096235,0.5309822916190376
