rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,actual_running_style_fixed,running_style,adjusted_style_profile,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込,early_speed,stamina,acceleration,consistency,mud_aptitude,mud_source,race_strength_score,race_strength_adjusted_score,elo_rating,normalized_elo_score,relative_agari_score,course_fit_score,jockey,jockey_score,track_bias_fit_score,pace_fit_score,avg_race_score,horse_ability_score,popularity_score,race_level_score,finish_score,margin_score,time_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,carried_weight,weight_penalty
1,デアヴェローチェ,7,5,先行,先行,先行,先行,"{'逃げ': 0.09089720419914459, '先行': 0.48054468167462216, '差し': 0.3476855587869136, '追込': 0.08087255533931956}",72.87294705457924,6,0.09089720419914459,0.48054468167462216,0.3476855587869136,0.08087255533931956,98.95430834715287,60.45076527281493,0.0,78.72719273582413,93.56708771929819,race_history,65.42642857142856,72.56979038807872,1500.0,50.0,75.0,64.12264503676471,川田,50.0,50.0,88.3426171650198,76.43771053401865,77.36443528896174,76.92857142857143,69.04285714285713,85.97852474323064,92.69285714285715,89.99161801729237,77.13275410022597,0.6268504901960784,0.5856045751633987,0.6343720821661998,0.8898683082076368,100.0,88.98683082076369,59.47180205415499,50.3875,33.6,0.0,63.43720821661998,62.685049019607845,72.25232550333058,91.44986569304594,81.47013195142003,65.21009558823529,65.0,53.0,-4.0
2,ジェニファー,2,2,逃げ,逃げ,逃げ,逃げ,"{'逃げ': 0.542127693040501, '先行': 0.4251327864418838, '差し': 0.027029316213374167, '追込': 0.005710204304241119}",75.23524751546121,1,0.542127693040501,0.4251327864418838,0.027029316213374167,0.005710204304241119,100.0,38.08537712922644,0.0,59.901672414985974,76.48811336032384,race_history,56.61904761904761,55.96914763735298,1500.0,50.0,75.0,62.822525000000006,田山,50.0,50.0,53.05741898866121,71.19108321801069,69.33406105784186,76.85714285714286,50.0,81.8070818070818,88.45714285714287,88.88741722728923,69.79831659788407,0.865491452991453,0.865491452991453,0.16483516483516483,0.8902706889157158,100.0,89.02706889157157,46.65337912087912,46.9975,34.5,0.0,16.483516483516482,86.5491452991453,87.66421091573713,81.25892669548398,76.70363789036438,66.23599358974359,65.0,50.0,-4.0
3,ヤマニンアルリフラ,11,7,差し,差し,差し,差し,"{'逃げ': 0.04734040993073217, '先行': 0.13034831728926738, '差し': 0.6756447914478723, '追込': 0.14666648133212823}",76.32703757980028,10,0.04734040993073217,0.13034831728926738,0.6756447914478723,0.14666648133212823,82.35521654374283,44.625190393066,100.0,27.325043166748905,50.0,neutral,73.42261904761905,74.2015308983438,1500.0,50.0,48.05000000000002,52.09421428571428,団野,50.0,50.0,63.992038296899814,66.57702166232072,70.98370635304683,57.57142857142857,83.21428571428571,54.82993197278911,58.00714285714286,89.62296752371354,69.88203518036529,0.3559027777777778,0.37390873015873016,0.4710884353741497,0.8961526052775518,100.0,89.61526052775517,57.560843148001695,34.09,33.1,71.3363226364795,47.10884353741497,35.59027777777778,60.891847396219994,84.44888220450513,76.44776829026534,58.67122023809524,89.96771292276782,57.5,3.0
4,サウンドモリアーナ,10,7,逃げ,逃げ,逃げ,逃げ,"{'逃げ': 0.488007919607444, '先行': 0.33968488481731635, '差し': 0.12706965577203155, '追込': 0.04523753980320809}",76.65831866146566,9,0.488007919607444,0.33968488481731635,0.12706965577203155,0.04523753980320809,100.0,46.20759755483576,0.0,64.20470039624554,50.0,neutral,62.24317460317461,67.75461652090361,1500.0,50.0,75.0,63.3106625,吉村,50.0,50.0,66.01892205461058,76.99052140290779,76.25768767304295,68.0,63.48571428571428,82.64166666666667,93.23571428571428,94.08872205309056,76.44089610550917,0.82125,0.8228125000000001,0.17857142857142858,0.9328245501817469,100.0,93.28245501817469,49.396785714285706,48.4475,33.6,0.0,17.857142857142858,82.125,87.23179225817861,88.3449200695427,82.99472525999609,71.58749999999999,65.0,55.0,-2.0
5,アンクルクロス,4,4,先行,先行,先行,先行,"{'逃げ': 0.0016164865766838425, '先行': 0.522146713217633, '差し': 0.349319975509776, '追込': 0.1269168246959071}",77.98079739396385,3,0.0016164865766838425,0.522146713217633,0.349319975509776,0.1269168246959071,91.97517529428289,52.40743053243546,0.0,76.58326917432721,50.0,neutral,65.42071428571428,72.15703750307321,1500.0,50.0,75.0,62.84034632352942,松若,50.0,50.0,92.43023874646741,77.43355344579584,77.15130704965746,82.71428571428571,67.44285714285715,83.15798319327732,91.60000000000001,92.6343383142431,77.22186864869205,0.6358314479638009,0.6424066742081448,0.49548319327731094,0.9224905390282963,100.0,92.24905390282962,57.46957983193277,49.6475,33.3,0.0,49.54831932773109,63.58314479638009,76.84444133772129,92.44775838734648,82.88197964655629,67.11734728506786,65.0,56.0,0.0
6,フリッカージャブ,12,8,逃げ,逃げ,逃げ,逃げ,"{'逃げ': 0.6674728254332432, '先行': 0.32915884335653844, '差し': 0.003368331210218382, '追込': 0.0}",79.08870524113703,11,0.6674728254332432,0.32915884335653844,0.003368331210218382,0.0,100.0,43.32591491632075,0.0,74.17771715061286,50.0,neutral,65.0818253968254,72.98247201254131,1500.0,50.0,75.0,66.47888749999998,松山,50.0,50.0,50.30909090909091,78.62362918292222,78.5378477684407,87.57142857142857,66.44285714285715,85.98015873015872,95.02142857142857,99.37529411764706,78.55929312206108,0.875,0.875,0.044642857142857144,0.9937529411764705,100.0,99.37529411764706,45.00607142857143,53.045,34.0,0.0,4.464285714285714,87.5,92.84388235294116,94.11914522058824,87.42878676470588,72.912375,65.0,57.5,3.0
7,アメリカンビキニ,8,6,逃げ,逃げ,逃げ,逃げ,"{'逃げ': 0.84943730543386, '先行': 0.1460123839488998, '差し': 0.004550310617240228, '追込': 0.0}",79.12152150969611,7,0.84943730543386,0.1460123839488998,0.004550310617240228,0.0,100.0,36.04430417091571,0.0,59.11173486714554,49.57653729933895,race_history,60.06944444444445,57.44891290729014,1500.0,50.0,75.0,58.68044642857143,酒井,50.0,50.0,50.41901301542652,66.70375278766599,67.0355680743237,80.14285714285714,59.642857142857146,74.4091836734694,83.2,85.53945639874155,66.95261425265929,0.9102678571428572,0.9102678571428572,0.0,0.8441756885329528,100.0,84.41756885329528,38.467499999999994,55.6025,34.2,0.0,0.0,91.02678571428572,88.05263812684002,76.33468293065192,75.1311628693124,64.4770357142857,65.0,51.0,-4.0
8,ヨシノイースター,9,6,先行,先行,先行,先行,"{'逃げ': 0.0352640990566736, '先行': 0.6928731451929304, '差し': 0.262664947495712, '追込': 0.00919780825468395}",79.3271623649607,8,0.0352640990566736,0.6928731451929304,0.262664947495712,0.00919780825468395,100.0,45.048992577666304,0.0,54.60486218920417,50.0,neutral,74.2338888888889,78.23558061108076,1500.0,50.0,75.0,58.62258897058823,田辺,50.0,50.0,74.29085037059811,70.40251562223914,73.8565310922185,60.714285714285715,84.10000000000001,63.03921568627451,72.06428571428572,93.89184438074085,72.99302722472366,0.6419730392156863,0.658639705882353,0.22689075630252103,0.941378427032173,100.0,94.1378427032173,50.22226890756302,47.074999999999996,33.9,0.0,22.689075630252102,64.19730392156863,78.5872130399772,82.55450779749671,82.79768848676952,65.33106617647059,65.0,58.0,4.0
9,イツモニコニコ,13,8,先行,先行,先行,先行,"{'逃げ': 0.27944782840013044, '先行': 0.43893926331594685, '差し': 0.2692126285370459, '追込': 0.012400279746876913}",81.56445873904805,12,0.27944782840013044,0.43893926331594685,0.2692126285370459,0.012400279746876913,97.33962452619878,33.773271410354184,0.0,25.356849451957597,50.0,neutral,62.76531746031746,55.944823622780426,1500.0,50.0,75.0,54.73445,藤懸,50.0,50.0,75.28573284794102,61.28156069274304,63.19995859324512,64.64285714285714,64.32857142857144,48.732142857142854,66.22142857142858,91.701715489359,62.7203591181196,0.6856249999999999,0.7056250000000001,0.21339285714285713,0.9132888343685205,100.0,91.32888343685205,49.53982142857143,48.19,33.2,0.0,21.339285714285715,68.5625,79.90737254658342,70.48616108178017,75.85326089026863,60.99612499999999,65.0,53.0,-4.0
10,ランフォーヴァウ,1,1,自在,差し,差し,差し,"{'逃げ': 0.1471787957716077, '先行': 0.330306075019986, '差し': 0.36640391477816664, '追込': 0.15611121443023968}",83.18763707078348,0,0.1471787957716077,0.330306075019986,0.36640391477816664,0.15611121443023968,85.04043725142402,61.25050045697906,0.0,31.1548598396439,50.0,neutral,69.72595238095238,69.40576205678227,1500.0,50.0,75.0,59.85989285714286,石川,50.0,50.0,88.29471671783664,66.6957070036083,70.08929450725857,47.214285714285715,78.38571428571429,60.151643990929706,74.52857142857144,83.7663077505825,69.240897631346,0.5319940476190477,0.5722470238095239,0.19727891156462585,0.8288981905079286,100.0,82.88981905079287,48.67197278911564,49.095,34.2,0.0,19.727891156462583,53.199404761904766,68.77400488238061,81.33567988218223,75.45290047793608,60.770910714285705,65.0,54.0,-4.0
