horse_number,horse_name,frame,actual_running_style,actual_running_style_fixed,position_m,finish_position_m,rank,lane,gap_from_leader,nige_senko_gap,early_gap_range,final_stretch_start_progress,horse_ability_score,popularity_score,race_level_score,finish_score,margin_score,time_score,race_power,performance_index,mid_race_move_score,normalized_mid_race_move,final_performance_score,late_power,random_noise,normalized_final_performance,normalized_late_power,late_phase,late_ratio,gap_adjustment,escape_fade,stalker_fade,fade_penalty,late_gain_multiplier,tie_breaker,ability_factor,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,stamina,acceleration,last3f_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,straight_attack_score,straight_ratio,pace,time,elapsed_time,progress
15,ルージュソリテール,8,逃げ,逃げ,0.0,0.0,1,7.0,0.0,12.0,0.0-8.0,0.75,75.755,73.429,77.586,74.853,84.15,89.093,75.017,55.682,78.94,1.0,64.497,61.91,-2.745,0.221,0.044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.769,0.0,0.773,0.773,0.148,0.882,1.0,88.242,77.258,82.201,84.147,80.784,69.363,65.0,66.358,0.0,0.0,35.365,52.03,33.2,0.0,14.831,0.0,0.0,medium,0.0,0.0,0.0
3,ブラウンラチェット,2,先行,先行,0.0,0.0,2,1.22,12.0,12.0,12.0-32.0,0.75,49.706,43.143,88.129,30.992,39.943,55.666,48.669,45.43,56.473,-1.0,51.05,49.303,-1.369,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.635,0.591,0.261,0.555,1.0,55.523,63.507,57.47,48.349,54.363,52.362,65.0,69.685,0.0,0.0,31.875,50.98,34.6,0.0,26.111,0.0,0.0,medium,0.0,0.0,0.0
7,セキトバイースト,4,先行,先行,0.0,0.0,3,3.22,12.0,12.0,12.0-32.0,0.75,63.478,59.143,87.0,49.447,65.086,69.753,62.736,53.595,69.978,0.328,60.224,57.391,-2.599,-0.254,-0.491,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.755,0.814,0.061,0.703,1.0,70.283,75.469,76.376,59.897,68.56,66.657,65.0,71.029,0.0,0.0,30.738,49.06,33.8,0.0,6.122,0.0,0.0,medium,0.0,0.0,0.0
9,テリオスララ,5,先行,先行,0.0,0.0,4,4.22,12.0,12.0,12.0-32.0,0.75,62.736,69.714,69.8,46.956,60.379,73.614,61.48,50.261,67.721,0.071,57.392,55.399,-1.539,-0.569,-0.726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.804,0.785,0.0,0.726,1.0,72.649,80.404,75.883,60.475,64.98,63.462,65.0,62.083,0.0,0.0,30.735,53.4025,33.2,0.0,0.0,0.0,0.0,medium,0.0,0.0,0.0
10,ホールネス,5,先行,先行,0.0,0.0,5,4.0,12.0,12.0,12.0-32.0,0.75,59.069,60.214,85.9,49.038,50.986,59.868,57.483,53.57,63.8,-0.375,58.834,59.229,2.87,-0.409,-0.273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.628,0.628,0.209,0.598,1.0,59.798,62.847,61.475,61.899,59.287,54.342,65.0,87.623,0.0,0.0,29.207,49.894999999999996,34.4,0.0,20.882,0.0,0.0,medium,0.0,0.0,0.0
11,テレサ,6,先行,先行,0.0,0.0,6,5.22,12.0,12.0,12.0-32.0,0.75,70.675,68.643,82.457,67.127,74.443,77.143,69.64,55.919,74.276,0.817,63.343,62.521,0.703,0.093,0.117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.07,0.0,0.776,0.788,0.088,0.773,1.0,77.342,77.561,78.15,74.142,73.6,67.05,65.0,72.062,0.0,0.0,31.002,50.06,34.3,0.0,8.824,0.0,0.0,medium,0.0,0.0,0.0
13,ビップデイジー,7,先行,先行,0.0,0.0,7,6.22,12.0,12.0,12.0-32.0,0.75,65.857,57.714,83.529,52.226,70.536,83.998,65.953,52.045,71.191,0.466,59.948,57.539,-2.458,-0.285,-0.473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.56,0.0,0.505,0.547,0.15,0.839,1.0,83.868,50.472,67.809,76.822,76.631,60.961,65.0,62.065,0.0,0.0,35.726,50.8275,33.6,0.0,15.0,0.0,0.0,medium,0.0,0.0,0.0
1,マカナ,1,差し,差し,0.0,0.0,8,0.22,42.0,12.0,42.0-75.0,0.75,69.715,78.143,51.529,71.823,84.486,72.603,68.457,56.15,65.608,-0.169,66.412,63.951,-2.769,0.434,0.286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.403,0.359,0.6,0.724,1.0,72.442,40.31,52.363,80.801,67.368,54.929,65.0,74.116,0.0,0.0,46.662,48.417500000000004,33.1,0.0,60.0,0.0,0.0,medium,0.0,0.0,0.0
5,エストゥペンダ,3,差し,差し,0.0,0.0,9,2.22,42.0,12.0,42.0-75.0,0.75,77.959,88.429,63.086,81.175,91.75,71.709,76.564,71.012,66.747,-0.04,74.487,73.47,-0.889,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.088,0.14,0.918,0.727,1.0,72.695,8.75,40.391,84.811,71.462,52.505,65.0,83.778,49.909,49.909,60.756,40.5625,32.4,0.0,91.786,0.0,0.0,medium,0.0,0.0,0.0
6,ヴァルキリーバース,3,差し,差し,0.0,0.0,10,2.0,42.0,12.0,42.0-75.0,0.75,77.485,81.0,63.029,88.571,95.129,72.912,77.215,62.565,72.1,0.569,73.725,73.021,0.289,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.443,0.554,0.747,0.705,1.0,70.469,44.287,62.186,84.382,70.389,63.243,65.0,86.288,0.0,0.0,51.542,49.275,33.6,0.0,74.742,0.0,0.0,medium,0.0,0.0,0.0
