horse_name,frame,horse_number,carried_weight,weight_penalty,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,mud_source,base_ability_score,race_strength_score,race_strength_adjusted_score,elo_rating,normalized_elo_score,relative_agari_score,course_fit_score,jockey,jockey_score,track_bias_fit_score,pace_fit_score,consistency,running_style,primary_running_style,base_style_profile,base_逃げ,base_先行,base_差し,base_追込,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,weighted_avg_first_ratio,weighted_avg_mid_ratio,weighted_avg_last_corner_ratio,avg_first_ratio,avg_mid_ratio,avg_last_corner_ratio,weighted_avg_late_gain,weighted_avg_position_ratio,position_variance,style_sample_size,debug_passing_orders,debug_field_sizes,debug_first_ratios,debug_mid_ratios,debug_last_corner_ratios,field_size_warnings,avg_opponent_strength_score,avg_race_score,popularity_score,race_level_score,finish_score,margin_score,time_score,last3f_score,horse_ability_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,actual_running_style,actual_running_style_fixed,adjusted_style_profile,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
ダノンデサイル,1,1,58.0,4.0,97.25,100.0,0.0,8.18,23.42,47.8,62.97,race_history,89.0,75.9,89.0,1500.0,50.0,75.0,64.71,戸崎,50.0,50.0,50.0,96.49,差し,差し,"{'逃げ': 0.08181818181818182, '先行': 0.23417104590886578, '差し': 0.4780101196308583, '追込': 0.2060006526420941}",0.082,0.234,0.478,0.206,8.18,23.42,47.8,20.6,48.75,0.437,0.449,0.483,0.437,0.449,0.483,5.31,0.456,0.0279,10,"['11-12-12-9', '6-6-6-7', '9-9-8-7', '8-8-10-9', '7-7-7-5', '1-1-1-1', '8-9-14-15', '4-3-6-4', '4-5-5-5', '11-10-9-10']","[18, 15, 16, 17, 18, 15, 18, 17, 14, 14]","[0.6111, 0.4, 0.5625, 0.4706, 0.3889, 0.0667, 0.4444, 0.2353, 0.2857, 0.7857]","[0.6667, 0.4, 0.5625, 0.4706, 0.3889, 0.0667, 0.5, 0.1765, 0.3571, 0.7143]","[0.6667, 0.4, 0.5, 0.5882, 0.3889, 0.0667, 0.7778, 0.3529, 0.3571, 0.6429]",[],78.03,75.89,85.57,94.2,83.22,85.46,75.57,48.9,77.79,77.31,0.504,0.49,0.875,0.757,100.0,75.69,64.65,48.667,33.8,0.0,87.5,50.4,61.02,86.45,78.44,64.7,65.0,差し,差し,"{'逃げ': 0.08588726894045633, '先行': 0.2434305675620702, '差し': 0.478789278999332, '追込': 0.19189288449814146}",0.08588726894045633,0.2434305675620702,0.478789278999332,0.19189288449814146
ミュージアムマイル,1,2,58.0,4.0,85.43,99.94,0.0,0.36,24.39,40.22,35.99,race_history,82.47,73.58,82.47,1500.0,50.0,75.0,61.04,レ＾ン,50.0,50.0,50.0,56.46,自在,自在,"{'逃げ': 0.0036115982077701133, '先行': 0.24389586865140586, '差し': 0.3503210854031331, '追込': 0.402171447737691}",0.004,0.244,0.35,0.402,0.36,24.39,35.03,40.22,55.0,0.55,0.553,0.542,0.55,0.553,0.542,4.8,0.548,0.0216,10,"['6-6-7-6', '11-11-11-11', '9-9-9', '8-8-6-6', '11-11-11-10', '8-8-8-10', '9-9-9-4', '3-4', '6-6-6-3', '3-3']","[18, 16, 14, 12, 18, 18, 14, 16, 8, 8]","[0.3333, 0.6875, 0.6429, 0.6667, 0.6111, 0.4444, 0.6429, 0.1875, 0.75, 0.375]","[0.3333, 0.6875, 0.6429, 0.6667, 0.6111, 0.4444, 0.6429, 0.25, 0.75, 0.375]","[0.3889, 0.6875, 0.6429, 0.5, 0.6111, 0.4444, 0.6429, 0.25, 0.75, 0.375]",[],73.82,71.08,82.71,93.9,76.22,74.39,68.88,57.73,73.13,72.62,0.425,0.425,0.719,0.695,100.0,69.45,63.11,48.88,32.3,0.0,71.9,42.51,54.63,79.71,72.36,62.05,65.0,追込,追込,"{'逃げ': 0.003857359499418881, '先行': 0.25796339167303994, '差し': 0.357014062196684, '追込': 0.3811651866308571}",0.003857359499418881,0.25796339167303994,0.357014062196684,0.3811651866308571
シュガークン,2,3,58.0,4.0,97.88,77.86,0.0,40.42,51.04,6.86,29.23,race_history,58.22,69.83,58.22,1500.0,50.0,75.0,51.3,吉村,50.0,50.0,50.0,4.6,先行,先行,"{'逃げ': 0.4041603986324535, '先行': 0.51044777296412, '差し': 0.06859286315535493, '追込': 0.016798965248071514}",0.404,0.51,0.069,0.017,40.42,51.04,6.86,1.68,12.12,0.192,0.195,0.21,0.192,0.195,0.21,-4.53,0.199,0.0076,7,"['3-3-5-7', '2-2', '2-2-2-1', '4-5-5-6', '1-1-1-1', '5-5-4-2', '6-5']","[18, 15, 17, 17, 10, 13, 17]","[0.1667, 0.1333, 0.1176, 0.2353, 0.1, 0.3846, 0.3529]","[0.1667, 0.1333, 0.1176, 0.2941, 0.1, 0.3846, 0.2941]","[0.2778, 0.1333, 0.1176, 0.2941, 0.1, 0.3077, 0.2941]",[],64.42,49.34,66.86,85.37,38.43,45.73,56.57,49.1,55.86,54.23,0.849,0.838,0.118,0.573,100.0,57.33,45.82,50.133,33.9,0.0,11.76,84.86,71.91,50.37,57.1,63.91,65.0,先行,先行,"{'逃げ': 0.40823905993870585, '先行': 0.5105932374113247, '差し': 0.06611014149622282, '追込': 0.015057561153746589}",0.40823905993870585,0.5105932374113247,0.06611014149622282,0.015057561153746589
ミクニインスパイア,2,4,58.0,4.0,88.02,91.7,0.0,15.37,48.06,32.4,40.41,race_history,68.09,67.31,68.09,1500.0,50.0,75.0,58.07,丹内,50.0,50.0,50.0,26.98,先行,先行,"{'逃げ': 0.15371101212819718, '先行': 0.4806321539671108, '差し': 0.32401638282333656, '追込': 0.04164045108135539}",0.154,0.481,0.324,0.042,15.37,48.06,32.4,4.16,33.28,0.356,0.315,0.316,0.356,0.315,0.316,1.48,0.329,0.0166,9,"['7-7-10-11', '5-5-5-6', '9-6-3-2', '1-1-1-1', '6-6-4-3', '2-2-3-3', '7-7', '5-2-2-1', '8-8-12-11']","[18, 15, 14, 11, 16, 12, 16, 18, 18]","[0.3889, 0.3333, 0.6429, 0.0909, 0.375, 0.1667, 0.4375, 0.2778, 0.4444]","[0.3889, 0.3333, 0.4286, 0.0909, 0.375, 0.1667, 0.4375, 0.1111, 0.4444]","[0.5556, 0.3333, 0.2143, 0.0909, 0.25, 0.25, 0.4375, 0.1111, 0.6667]",[],64.57,60.1,81.29,75.04,74.14,69.24,62.17,51.21,62.89,62.19,0.627,0.67,0.291,0.63,100.0,63.0,50.9,49.13,33.6,0.0,29.06,62.7,65.19,75.48,63.53,62.62,65.0,先行,先行,"{'逃げ': 0.15752364469641494, '先行': 0.4877716310197512, '差し': 0.31683714870316637, '追込': 0.03786757558066753}",0.15752364469641494,0.4877716310197512,0.31683714870316637,0.03786757558066753
クロワデュノール,3,5,58.0,4.0,100.0,100.0,0.0,4.16,69.29,22.48,69.89,race_history,93.52,75.76,93.52,1500.0,50.0,75.0,66.14,北村友,50.0,50.0,50.0,93.41,先行,先行,"{'逃げ': 0.04155495743087129, '先行': 0.6929017508143429, '差し': 0.2248038157994079, '追込': 0.040739475955377885}",0.042,0.693,0.225,0.041,4.16,69.29,22.48,4.07,21.67,0.327,0.31,0.265,0.327,0.31,0.265,2.57,0.301,0.0094,9,"['5-5-4-3', '6-5-5-3', '8-8-6-4', '4-4-4-5', '4-3-2-3', '4-4-6-2', '7-7-4-3', '3-3-2', '2-2-2']","[18, 15, 15, 17, 18, 18, 18, 9, 11]","[0.2778, 0.4, 0.5333, 0.2353, 0.2222, 0.2222, 0.3889, 0.3333, 0.1818]","[0.2778, 0.3333, 0.5333, 0.2353, 0.1667, 0.2222, 0.3889, 0.3333, 0.1818]","[0.2222, 0.3333, 0.4, 0.2353, 0.1111, 0.3333, 0.2222, 0.2222, 0.1818]",[],79.49,80.6,90.0,95.0,89.54,94.19,79.13,50.47,81.01,80.91,0.659,0.683,0.465,0.796,100.0,79.6,54.95,49.983,34.2,0.0,46.51,65.94,73.37,89.7,82.85,72.88,65.0,先行,先行,"{'逃げ': 0.04247308178007964, '先行': 0.7013350404326507, '差し': 0.21924160267317735, '追込': 0.0369502751140923}",0.04247308178007964,0.7013350404326507,0.21924160267317735,0.0369502751140923
ビザンチンドリーム,3,6,58.0,4.0,57.63,100.0,0.0,0.0,0.0,55.71,26.27,race_history,68.96,74.42,68.96,1500.0,50.0,75.0,50.87,西村淳,50.0,50.0,50.0,26.99,追込,追込,"{'逃げ': 0.0, '先行': 0.0, '差し': 0.44288817734353475, '追込': 0.5571118226564653}",0.0,0.0,0.443,0.557,0.0,0.0,44.29,55.71,5.03,0.85,0.849,0.758,0.85,0.849,0.758,4.37,0.819,0.0031,9,"['16-16-12-11', '14-14-12-8', '16-15-10-10', '12-15-14-10', '12-11-12-13', '12-13-16-16', '16-16-16-15', '11-9', '10-9-8-8']","[18, 15, 18, 18, 14, 17, 17, 12, 12]","[0.8889, 0.9333, 0.8889, 0.6667, 0.8571, 0.7059, 0.9412, 0.9167, 0.8333]","[0.8889, 0.9333, 0.8333, 0.8333, 0.7857, 0.7647, 0.9412, 0.75, 0.75]","[0.6667, 0.8, 0.5556, 0.7778, 0.8571, 0.9412, 0.9412, 0.75, 0.6667]",[],71.19,57.27,66.29,92.8,57.02,54.49,56.65,43.1,63.51,61.95,0.145,0.137,0.677,0.571,100.0,57.07,58.23,48.907,34.9,0.0,67.7,14.48,33.24,69.56,60.23,45.14,65.0,追込,追込,"{'逃げ': 0.0, '先行': 0.0, '差し': 0.4608607452270321, '追込': 0.5391392547729679}",0.0,0.0,0.4608607452270321,0.5391392547729679
ファミリータイム,4,7,58.0,4.0,93.73,93.41,0.0,23.9,46.15,29.21,45.56,race_history,61.87,69.53,61.87,1500.0,50.0,75.0,58.12,幸,50.0,50.0,50.0,56.66,先行,先行,"{'逃げ': 0.23902828850757282, '先行': 0.46147164206073854, '差し': 0.29213058438267747, '追込': 0.007369485049011044}",0.239,0.461,0.292,0.007,23.9,46.15,29.21,0.74,75.44,0.287,0.287,0.305,0.287,0.287,0.305,-0.25,0.293,0.0225,10,"['9-9-8-7', '2-2-2-8', '1-1-1-1', '6-6-9-6', '2-2-2-2', '2-2-2-2', '1-1-1-2', '5-5', '7-7-7-7', '5-5-9-9']","[18, 10, 13, 18, 9, 8, 6, 10, 18, 10]","[0.5, 0.2, 0.0769, 0.3333, 0.2222, 0.25, 0.1667, 0.5, 0.3889, 0.5]","[0.5, 0.2, 0.0769, 0.3333, 0.2222, 0.25, 0.1667, 0.5, 0.3889, 0.5]","[0.4444, 0.2, 0.0769, 0.5, 0.2222, 0.25, 0.1667, 0.5, 0.3889, 0.9]",[],65.42,56.68,58.07,86.09,58.29,53.82,60.33,49.27,58.46,58.01,0.723,0.723,0.183,0.607,100.0,60.66,47.74,49.032,33.8,0.0,18.25,72.29,67.06,66.45,60.66,62.17,65.0,先行,先行,"{'逃げ': 0.24358252904780242, '先行': 0.4656984568322071, '差し': 0.28405485617602183, '追込': 0.006664157943968577}",0.24358252904780242,0.4656984568322071,0.28405485617602183,0.006664157943968577
タガノデュード,4,8,58.0,4.0,66.88,100.0,0.0,0.0,7.8,48.19,48.0,race_history,72.69,72.8,72.69,1500.0,50.0,75.0,60.69,高杉,50.0,50.0,50.0,74.77,自在,自在,"{'逃げ': 0.0, '先行': 0.07800377903986942, '差し': 0.4400698154012675, '追込': 0.48192640555886307}",0.0,0.078,0.44,0.482,0.0,7.8,44.01,48.19,55.0,0.79,0.772,0.71,0.79,0.772,0.71,7.15,0.757,0.0329,10,"['18-18-17-16', '13-13-13-12', '13-13-12-7', '14-14-11-7', '6-5-4-3', '8-8-7-5', '13-12', '6-6-6-4', '7-7-7-7', '5-4-4-4']","[18, 15, 15, 16, 9, 15, 18, 15, 10, 12]","[1.0, 0.8667, 0.8667, 0.875, 0.6667, 0.5333, 0.7222, 0.4, 0.7, 0.4167]","[1.0, 0.8667, 0.8667, 0.875, 0.5556, 0.5333, 0.6667, 0.4, 0.7, 0.3333]","[0.9444, 0.8667, 0.8, 0.6875, 0.4444, 0.4667, 0.6667, 0.4, 0.7, 0.3333]",[],72.57,67.65,58.79,89.19,74.89,71.19,69.17,51.23,66.17,66.54,0.129,0.145,0.993,0.697,100.0,69.65,68.43,47.388,33.6,0.0,99.29,12.85,39.33,81.17,70.68,50.34,65.0,追込,追込,"{'逃げ': 0.0, '先行': 0.08352739624580244, '差し': 0.45404645750503664, '追込': 0.46242614624916095}",0.0,0.08352739624580244,0.45404645750503664,0.46242614624916095
コスモキュランダ,5,9,58.0,4.0,100.0,88.83,0.0,35.05,51.56,7.3,60.52,race_history,70.75,74.13,70.75,1500.0,50.0,75.0,53.1,横山武,50.0,50.0,50.0,56.7,先行,先行,"{'逃げ': 0.3505476661184918, '先行': 0.5156288955250803, '差し': 0.07297089748930423, '追込': 0.06085254086712371}",0.351,0.516,0.073,0.061,35.05,51.56,7.3,6.09,66.14,0.289,0.3,0.219,0.289,0.3,0.219,-3.33,0.269,0.0378,10,"['1-1-1-1', '4-3-3-3', '2-3-2-2', '6-6-4-3', '2-3-3', '5-5-2-2', '12-13-13-13', '5-6-5-5', '14-13-3-2', '14-13-5-5']","[18, 15, 16, 17, 14, 11, 16, 15, 18, 18]","[0.0556, 0.2667, 0.125, 0.3529, 0.1429, 0.4545, 0.75, 0.3333, 0.7778, 0.7778]","[0.0556, 0.2, 0.1875, 0.3529, 0.2143, 0.4545, 0.8125, 0.4, 0.7222, 0.7222]","[0.0556, 0.2, 0.125, 0.2353, 0.2143, 0.1818, 0.8125, 0.3333, 0.1667, 0.2778]",[],72.9,63.89,58.93,93.3,61.7,64.54,70.04,42.76,64.79,64.56,0.818,0.81,0.0,0.702,100.0,70.21,41.53,52.082,33.3,0.0,0.0,81.79,76.13,63.61,69.59,67.49,65.0,先行,先行,"{'逃げ': 0.3559592978056091, '先行': 0.5185056049385354, '差し': 0.07070193608241877, '追込': 0.0548331611734367}",0.3559592978056091,0.5185056049385354,0.07070193608241877,0.0548331611734367
ジューンテイク,5,10,58.0,4.0,87.85,83.4,0.0,13.49,43.05,24.6,42.17,race_history,72.52,73.76,72.52,1500.0,50.0,75.0,58.8,松山,50.0,50.0,50.0,53.32,先行,先行,"{'逃げ': 0.13488765340210193, '先行': 0.4304902757792718, '差し': 0.246017514477767, '追込': 0.18860455634085918}",0.135,0.43,0.246,0.189,13.49,43.05,24.6,18.86,100.0,0.472,0.461,0.401,0.472,0.461,0.401,-0.51,0.445,0.0615,10,"['7-7-5-3', '7-6-3-3', '2-2-2-2', '12-11-7-6', '14-14-17-18', '13-14-14-13', '2-2-2-3', '8-8-10', '3-3-2-2', '6-7-9-7']","[18, 14, 12, 18, 18, 15, 17, 18, 14, 17]","[0.3889, 0.5, 0.1667, 0.6667, 0.7778, 0.8667, 0.1176, 0.4444, 0.2143, 0.3529]","[0.3889, 0.4286, 0.1667, 0.6111, 0.7778, 0.9333, 0.1176, 0.4444, 0.2143, 0.4118]","[0.2778, 0.2143, 0.1667, 0.3889, 0.9444, 0.9333, 0.1176, 0.5556, 0.1429, 0.5294]",[],71.83,66.27,58.79,89.06,68.46,69.85,69.13,53.85,66.05,66.1,0.524,0.549,0.278,0.697,100.0,69.68,51.09,49.21,33.6,0.0,27.78,52.36,61.58,76.32,69.71,62.01,65.0,先行,先行,"{'逃げ': 0.14002562725428983, '先行': 0.4425492612854871, '差し': 0.24368551294806565, '追込': 0.1737395985121573}",0.14002562725428983,0.4425492612854871,0.24368551294806565,0.1737395985121573
