horse_name,horse_number,section_index,distance_m,current_speed,elapsed_time,position_m
ミドリノハヤテ,1,0,100,20.406168899279724,4.900478894082353,100.0
ミドリノハヤテ,1,1,200,20.406168899279724,9.800957788164705,200.0
ミドリノハヤテ,1,2,300,20.406168899279724,14.701436682247058,300.0
ミドリノハヤテ,1,3,400,20.406168899279724,19.60191557632941,400.0
ミドリノハヤテ,1,4,500,20.406168899279724,24.502394470411765,500.0
ミドリノハヤテ,1,5,600,20.406168899279724,29.40287336449412,600.0
ミドリノハヤテ,1,6,700,20.406168899279724,34.303352258576474,700.0
ミドリノハヤテ,1,7,800,20.406168899279724,39.20383115265883,800.0
ミドリノハヤテ,1,8,900,20.406168899279724,44.10431004674118,900.0
ミドリノハヤテ,1,9,1000,20.406168899279724,49.00478894082354,1000.0
ミドリノハヤテ,1,10,1100,20.406168899279724,53.90526783490589,1100.0
ミドリノハヤテ,1,11,1200,20.406168899279724,58.80574672898825,1200.0
ミドリノハヤテ,1,12,1300,20.406168899279724,63.7062256230706,1300.0
ミドリノハヤテ,1,13,1400,22.261275162850605,68.19833127597943,1400.0
ミドリノハヤテ,1,14,1500,22.261275162850605,72.69043692888825,1500.0
ミドリノハヤテ,1,15,1600,22.1722300621992,77.20058316674852,1600.0
ミドリノハヤテ,1,16,1700,25.84462689853084,81.06985937617542,1700.0
ミドリノハヤテ,1,17,1800,25.74041469329483,84.95480067147044,1800.0
ミドリノハヤテ,1,18,1900,25.636202488058817,88.85553441105529,1900.0
ミドリノハヤテ,1,19,2000,25.531990282822807,92.77218951284252,2000.0
ミドリノハヤテ,1,20,2100,25.427778077586794,96.70489647980101,2100.0
ミドリノハヤテ,1,21,2200,25.323565872350784,100.6537874260474,2200.0
アカツキスター,2,0,100,20.474917150988947,4.884024646476773,100.0
アカツキスター,2,1,200,20.474917150988947,9.768049292953545,200.0
アカツキスター,2,2,300,20.474917150988947,14.652073939430318,300.0
アカツキスター,2,3,400,20.474917150988947,19.53609858590709,400.0
アカツキスター,2,4,500,20.474917150988947,24.420123232383865,500.0
アカツキスター,2,5,600,20.474917150988947,29.30414787886064,600.0
アカツキスター,2,6,700,20.474917150988947,34.188172525337414,700.0
アカツキスター,2,7,800,20.474917150988947,39.07219717181419,800.0
アカツキスター,2,8,900,20.474917150988947,43.95622181829096,900.0
アカツキスター,2,9,1000,20.474917150988947,48.84024646476774,1000.0
